Author,Title,Year of publication,,Country of study,Native or invasive,Days collected,Number collected,One day collection,Density per day,Mosquito stage reclassification,Biting indoor or outdoor,Resting indoor or outdoor,Breeding site,Condensed breeding site,Collection_method,Condensed collection method,Method,Origin
Hamideh Edalat1 ; Mehran Mahmoudi1 ; Mohammad Mehdi Sedaghat1 ; Seyed Hassan Moosa-Kazemi1 ; Sedigheh Kheirandish2,"Ecology of Malaria Vectors in an Endemic Area, Southeast of Iran",2020,,Iran,Native,313,32,0.102236422,,Adult,,Outdoor,,,Pit shelter,Aspiration targeting resting mosquitoes,r,n
Hamideh Edalat1 ; Mehran Mahmoudi1 ; Mohammad Mehdi Sedaghat1 ; Seyed Hassan Moosa-Kazemi1 ; Sedigheh Kheirandish2,"Ecology of Malaria Vectors in an Endemic Area, Southeast of Iran",2020,,Iran,Native,313,6,0.019169329,,Adult,,,,,CDC light trap,Mechanical trap,b,n
Hamideh Edalat1 ; Mehran Mahmoudi1 ; Mohammad Mehdi Sedaghat1 ; Seyed Hassan Moosa-Kazemi1 ; Sedigheh Kheirandish2,"Ecology of Malaria Vectors in an Endemic Area, Southeast of Iran",2020,,Iran,Native,313,15,0.047923323,,Adult,Indoor,Outdoor,,,Window exit trap,Passive trap,r,n
Hamideh Edalat1 ; Mehran Mahmoudi1 ; Mohammad Mehdi Sedaghat1 ; Seyed Hassan Moosa-Kazemi1 ; Sedigheh Kheirandish2,"Ecology of Malaria Vectors in an Endemic Area, Southeast of Iran",2020,,Iran,Native,313,10,0.031948882,,Adult,,,,,Human landing catch,Host seeking human baited trap,b,n
Hamideh Edalat1 ; Mehran Mahmoudi1 ; Mohammad Mehdi Sedaghat1 ; Seyed Hassan Moosa-Kazemi1 ; Sedigheh Kheirandish2,"Ecology of Malaria Vectors in an Endemic Area, Southeast of Iran",2020,,Iran,Native,313,256,0.817891374,,Adult,Indoor,,,,Total catch,Aspiration targeting resting mosquitoes,r,n
Hamideh Edalat1 ; Mehran Mahmoudi1 ; Mohammad Mehdi Sedaghat1 ; Seyed Hassan Moosa-Kazemi1 ; Sedigheh Kheirandish2,"Ecology of Malaria Vectors in an Endemic Area, Southeast of Iran",2020,,Iran,Native,313,9,0.028753994,,Adult,Outdoor,,,,Cow baited trap,Host seeking animal baited trap,b,n
Hamideh Edalat1 ; Mehran Mahmoudi1 ; Mohammad Mehdi Sedaghat1 ; Seyed Hassan Moosa-Kazemi1 ; Sedigheh Kheirandish2,"Ecology of Malaria Vectors in an Endemic Area, Southeast of Iran",2020,,Iran,Native,260,100,0.384615385,0.019230769,Larvae,,,,,Dipping,Aquatic larval collection,,n
Hamideh Edalat1 ; Mehran Mahmoudi1 ; Mohammad Mehdi Sedaghat1 ; Seyed Hassan Moosa-Kazemi1 ; Sedigheh Kheirandish2,"Ecology of Malaria Vectors in an Endemic Area, Southeast of Iran",2020,,Iran,Native,313,32,0.1,,Adult,,Outdoor,,,Pit shelter,Aspiration targeting resting mosquitoes,r,n
Hamideh Edalat1 ; Mehran Mahmoudi1 ; Mohammad Mehdi Sedaghat1 ; Seyed Hassan Moosa-Kazemi1 ; Sedigheh Kheirandish2,"Ecology of Malaria Vectors in an Endemic Area, Southeast of Iran",2020,,Iran,Native,313,6,0.019,,Adult,,,,,CDC light trap,Mechanical trap,b,n
"A. G. Gayan Dharmasiri, A. Yashan Perera, Jeevanie Harishchandra, Hemantha Herath, Kandasamy Aravindan,  H. T. R. Jayasooriya, Gaya R. Ranawaka, & Mihirini Hewavitharane",First record of�Anopheles stephensi in Sri Lanka: a potential challenge for prevention of malaria reintroduction,2017,,Sri Lanka,Invasive,107,1506,14.07476636,0.028149533,Larvae,,,Wells,Drinking water reservoirs,Dipping,Aquatic larval collection,,i
"A. G. Gayan Dharmasiri, A. Yashan Perera, Jeevanie Harishchandra, Hemantha Herath, Kandasamy Aravindan,  H. T. R. Jayasooriya, Gaya R. Ranawaka, & Mihirini Hewavitharane",First record of�Anopheles stephensi in Sri Lanka: a potential challenge for prevention of malaria reintroduction,2017,,Sri Lanka,Invasive,107,38,0.355140187,0.00071028,Larvae,,,Barrels,Drinking water reservoirs,Dipping,Aquatic larval collection,,i
"A. G. Gayan Dharmasiri, A. Yashan Perera, Jeevanie Harishchandra, Hemantha Herath, Kandasamy Aravindan,  H. T. R. Jayasooriya, Gaya R. Ranawaka, & Mihirini Hewavitharane",First record of Anopheles stephensi in Sri Lanka: a potential challenge for prevention of malaria reintroduction,2017,,Sri Lanka,Invasive,129,5,0.03875969,,Adult,,Indoor,,,Pyrethrum spray catch ,Pyrethrum spray catch ,r,i
"A. G. Gayan Dharmasiri, A. Yashan Perera, Jeevanie Harishchandra, Hemantha Herath, Kandasamy Aravindan,  H. T. R. Jayasooriya, Gaya R. Ranawaka, & Mihirini Hewavitharane",First record of Anopheles stephensi in Sri Lanka: a potential challenge for prevention of malaria reintroduction,2017,,Sri Lanka,Invasive,129,20,0.15503876,,Adult,Outdoor,,,,Cattle-baited trap,Host seeking animal baited trap,b,i
"A. G. Gayan Dharmasiri, A. Yashan Perera, Jeevanie Harishchandra, Hemantha Herath, Kandasamy Aravindan,  H. T. R. Jayasooriya, Gaya R. Ranawaka, & Mihirini Hewavitharane",First record of Anopheles stephensi in Sri Lanka: a potential challenge for prevention of malaria reintroduction,2017,,Sri Lanka,Invasive,129,6,0.046511628,,Adult,Outdoor,,,,Donkey-baited trap,Host seeking animal baited trap,b,i
"A. G. Gayan Dharmasiri, A. Yashan Perera, Jeevanie Harishchandra, Hemantha Herath, Kandasamy Aravindan,  H. T. R. Jayasooriya, Gaya R. Ranawaka, & Mihirini Hewavitharane",First record of Anopheles stephensi in Sri Lanka: a potential challenge for prevention of malaria reintroduction,2017,,Sri Lanka,Invasive,129,77,0.596899225,,Adult,,,,,Emergence trap collections,Passive trap,r,i
"A. G. Gayan Dharmasiri, A. Yashan Perera, Jeevanie Harishchandra, Hemantha Herath, Kandasamy Aravindan,  H. T. R. Jayasooriya, Gaya R. Ranawaka, & Mihirini Hewavitharane",First record of Anopheles stephensi in Sri Lanka: a potential challenge for prevention of malaria reintroduction,2017,,Sri Lanka,Invasive,129,19,0.147286822,,Adult,,,,,Human landing catch,Host seeking human baited trap,b,i
"A. G. Gayan Dharmasiri, A. Yashan Perera, Jeevanie Harishchandra, Hemantha Herath, Kandasamy Aravindan,  H. T. R. Jayasooriya, Gaya R. Ranawaka, & Mihirini Hewavitharane",First record of Anopheles stephensi in Sri Lanka: a potential challenge for prevention of malaria reintroduction,2017,,Sri Lanka,Invasive,129,1,0.007751938,,Adult,,,,,Outdoor collection,Aspiration targeting resting mosquitoes,r,i
"Michael K. Fauldea, Leopoldo M. Ruedac, Bouh A. Khairehd","First record of the Asian malaria vector Anopheles stephensi and its possible role in the resurgence of malaria in Djibouti, Horn of Africa",2014,,Djibouti,Invasive,537,50,0.09310987,,Adult,Indoor,,,,,,,i
