Author,Title,Year,Country of study,Native/Invasive,Mosquito stage reclassification,Insecticide reclassification,Mortality Rate,Origin
"Mohammad Reza Abai, Ahmad Ali Hanafi-Bojd, Hassan Vatandoost",Laboratory Evaluation of Temephos against Anopheles stephensi and Culex pipiens Larvae in Iran,2016,Iran (Kazeroun County),Native,Larvae,Organophosphate,8,n
"Mohammad Reza Abai, Ahmad Ali Hanafi-Bojd, Hassan Vatandoost",Laboratory Evaluation of Temephos against Anopheles stephensi and Culex pipiens Larvae in Iran,2016,Iran (Kazeroun County),Native,Larvae,Organophosphate,26,n
"Mohammad Reza Abai, Ahmad Ali Hanafi-Bojd, Hassan Vatandoost",Laboratory Evaluation of Temephos against Anopheles stephensi and Culex pipiens Larvae in Iran,2016,Iran (Kazeroun County),Native,Larvae,Organophosphate,77,n
"Mohammad Reza Abai, Ahmad Ali Hanafi-Bojd, Hassan Vatandoost",Laboratory Evaluation of Temephos against Anopheles stephensi and Culex pipiens Larvae in Iran,2016,Iran (Kazeroun County),Native,Larvae,Organophosphate,93,n
"M.R. Abai, A. Mehravaran, H. Vatandoost, M.A. Oshaghi, E. Javadian, M. Mashayekhi, A. Mosleminia, N. Piyazak, H. Edallat, F. Mohtarami, H. Jabbarie & F. Rafi","Comparative performance of imagicides on Anopheles stephensi, main malaria vector in a malarious area, southern Iran",2008,Iran (Kerman province),Native,Adult,Organochlorine,100,n
"M.R. Abai, A. Mehravaran, H. Vatandoost, M.A. Oshaghi, E. Javadian, M. Mashayekhi, A. Mosleminia, N. Piyazak, H. Edallat, F. Mohtarami, H. Jabbarie & F. Rafi","Comparative performance of imagicides on Anopheles stephensi, main malaria vector in a malarious area, southern Iran",2008,Iran (Kerman province),Native,Adult,Organochlorine,100,n
"M.R. Abai, A. Mehravaran, H. Vatandoost, M.A. Oshaghi, E. Javadian, M. Mashayekhi, A. Mosleminia, N. Piyazak, H. Edallat, F. Mohtarami, H. Jabbarie & F. Rafi","Comparative performance of imagicides on Anopheles stephensi, main malaria vector in a malarious area, southern Iran",2008,Iran (Kerman province),Native,Adult,Pyrethroid,100,n
"M.R. Abai, A. Mehravaran, H. Vatandoost, M.A. Oshaghi, E. Javadian, M. Mashayekhi, A. Mosleminia, N. Piyazak, H. Edallat, F. Mohtarami, H. Jabbarie & F. Rafi","Comparative performance of imagicides on Anopheles stephensi, main malaria vector in a malarious area, southern Iran",2008,Iran (Kerman province),Native,Adult,Pyrethroid,100,n
"M.R. Abai, A. Mehravaran, H. Vatandoost, M.A. Oshaghi, E. Javadian, M. Mashayekhi, A. Mosleminia, N. Piyazak, H. Edallat, F. Mohtarami, H. Jabbarie & F. Rafi","Comparative performance of imagicides on Anopheles stephensi, main malaria vector in a malarious area, southern Iran",2008,Iran (Kerman province),Native,Adult,Pyrethroid,100,n
"M.R. Abai, A. Mehravaran, H. Vatandoost, M.A. Oshaghi, E. Javadian, M. Mashayekhi, A. Mosleminia, N. Piyazak, H. Edallat, F. Mohtarami, H. Jabbarie & F. Rafi","Comparative performance of imagicides on Anopheles stephensi, main malaria vector in a malarious area, southern Iran",2008,Iran (Kerman province),Native,Adult,Pyrethroid,100,n
"Madineh Abbasi, Ahmad Ali Hanafi-Bojd, Mohammad Reza Yaghoobi-Ershadi, Hassan Vatandoost, Mohammad Ali Oshaghi, Teimour Hazratian, Mohammad Mehdi Sedaghat, Sajjad Fekri, Reza Safari, Abdol Rasoul Mojahedi, Yousef Salari","Resistance status of main malaria vector, Anopheles stephensi Liston (Diptera: Culicidae) to insecticides in a malaria Endemic Area, Southern Iran",2019,Iran (Hormoodar),Native,Larvae,Organophosphate,100,n
"Madineh Abbasi, Ahmad Ali Hanafi-Bojd, Mohammad Reza Yaghoobi-Ershadi, Hassan Vatandoost, Mohammad Ali Oshaghi, Teimour Hazratian, Mohammad Mehdi Sedaghat, Sajjad Fekri, Reza Safari, Abdol Rasoul Mojahedi, Yousef Salari","Resistance status of main malaria vector, Anopheles stephensi Liston (Diptera: Culicidae) to insecticides in a malaria Endemic Area, Southern Iran",2019,Iran (Hormoodar),Native,Larvae,Organophosphate,97,n
"Madineh Abbasi, Ahmad Ali Hanafi-Bojd, Mohammad Reza Yaghoobi-Ershadi, Hassan Vatandoost, Mohammad Ali Oshaghi, Teimour Hazratian, Mohammad Mehdi Sedaghat, Sajjad Fekri, Reza Safari, Abdol Rasoul Mojahedi, Yousef Salari","Resistance status of main malaria vector, Anopheles stephensi Liston (Diptera: Culicidae) to insecticides in a malaria Endemic Area, Southern Iran",2019,Iran (Hormoodar),Native,Adult,Carbamate,86.1,n
"Madineh Abbasi, Ahmad Ali Hanafi-Bojd, Mohammad Reza Yaghoobi-Ershadi, Hassan Vatandoost, Mohammad Ali Oshaghi, Teimour Hazratian, Mohammad Mehdi Sedaghat, Sajjad Fekri, Reza Safari, Abdol Rasoul Mojahedi, Yousef Salari","Resistance status of main malaria vector, Anopheles stephensi Liston (Diptera: Culicidae) to insecticides in a malaria Endemic Area, Southern Iran",2019,Iran (Hormoodar),Native,Adult,Pyrethroid,82.27,n
"Madineh Abbasi, Ahmad Ali Hanafi-Bojd, Mohammad Reza Yaghoobi-Ershadi, Hassan Vatandoost, Mohammad Ali Oshaghi, Teimour Hazratian, Mohammad Mehdi Sedaghat, Sajjad Fekri, Reza Safari, Abdol Rasoul Mojahedi, Yousef Salari","Resistance status of main malaria vector, Anopheles stephensi Liston (Diptera: Culicidae) to insecticides in a malaria Endemic Area, Southern Iran",2019,Iran (Hormoodar),Native,Adult,Pyrethroid,84.31,n
"Madineh Abbasi, Ahmad Ali Hanafi-Bojd, Mohammad Reza Yaghoobi-Ershadi, Hassan Vatandoost, Mohammad Ali Oshaghi, Teimour Hazratian, Mohammad Mehdi Sedaghat, Sajjad Fekri, Reza Safari, Abdol Rasoul Mojahedi, Yousef Salari","Resistance status of main malaria vector, Anopheles stephensi Liston (Diptera: Culicidae) to insecticides in a malaria Endemic Area, Southern Iran",2019,Iran (Hormoodar),Native,Adult,Pyrethroid,89.66,n
"Madineh Abbasi, Ahmad Ali Hanafi-Bojd, Mohammad Reza Yaghoobi-Ershadi, Hassan Vatandoost, Mohammad Ali Oshaghi, Teimour Hazratian, Mohammad Mehdi Sedaghat, Sajjad Fekri, Reza Safari, Abdol Rasoul Mojahedi, Yousef Salari","Resistance status of main malaria vector, Anopheles stephensi Liston (Diptera: Culicidae) to insecticides in a malaria Endemic Area, Southern Iran",2019,Iran (Abbas City),Native,Larvae,Organophosphate,100,n
"Madineh Abbasi, Ahmad Ali Hanafi-Bojd, Mohammad Reza Yaghoobi-Ershadi, Hassan Vatandoost, Mohammad Ali Oshaghi, Teimour Hazratian, Mohammad Mehdi Sedaghat, Sajjad Fekri, Reza Safari, Abdol Rasoul Mojahedi, Yousef Salari","Resistance status of main malaria vector, Anopheles stephensi Liston (Diptera: Culicidae) to insecticides in a malaria Endemic Area, Southern Iran",2019,Iran (Abbas City),Native,Larvae,Organophosphate,100,n
"Madineh Abbasi, Ahmad Ali Hanafi-Bojd, Mohammad Reza Yaghoobi-Ershadi, Hassan Vatandoost, Mohammad Ali Oshaghi, Teimour Hazratian, Mohammad Mehdi Sedaghat, Sajjad Fekri, Reza Safari, Abdol Rasoul Mojahedi, Yousef Salari","Resistance status of main malaria vector, Anopheles stephensi Liston (Diptera: Culicidae) to insecticides in a malaria Endemic Area, Southern Iran",2019,Iran (Abbas City),Native,Larvae,Organophosphate,96.67,n
"Madineh Abbasi, Ahmad Ali Hanafi-Bojd, Mohammad Reza Yaghoobi-Ershadi, Hassan Vatandoost, Mohammad Ali Oshaghi, Teimour Hazratian, Mohammad Mehdi Sedaghat, Sajjad Fekri, Reza Safari, Abdol Rasoul Mojahedi, Yousef Salari","Resistance status of main malaria vector, Anopheles stephensi Liston (Diptera: Culicidae) to insecticides in a malaria Endemic Area, Southern Iran",2019,Iran (Deh Matoon),Native,Larvae,Organophosphate,96.22,n
"Mushtaq Ahmad, Cyril Buhler, Patricia Pignatelli, Hilary Ranson, Sami Mohammad Nahzat, Mohammad Naseem, Muhammad Farooq Sabawoon, Abdul Majeed Siddiqi & Martijn Vink",Status of insecticide resistance in high-risk malaria provinces in Afghanistan,2016,Afghanistan (Nangarhar),Native,Adult,Organochlorine,60,n
"Mushtaq Ahmad, Cyril Buhler, Patricia Pignatelli, Hilary Ranson, Sami Mohammad Nahzat, Mohammad Naseem, Muhammad Farooq Sabawoon, Abdul Majeed Siddiqi & Martijn Vink",Status of insecticide resistance in high-risk malaria provinces in Afghanistan,2016,Afghanistan (Nangarhar),Native,Adult,Organophosphate,97,n
"Mushtaq Ahmad, Cyril Buhler, Patricia Pignatelli, Hilary Ranson, Sami Mohammad Nahzat, Mohammad Naseem, Muhammad Farooq Sabawoon, Abdul Majeed Siddiqi & Martijn Vink",Status of insecticide resistance in high-risk malaria provinces in Afghanistan,2016,Afghanistan (Nangarhar),Native,Adult,Carbamate,100,n
